Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course,Attraction_Link,Dish_Link
South,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Vijayawada International Airport (VGA),44000,Pulihora (Tamarind Rice),Veg,Rice Dish,Main Course,https://drive.google.com/uc?export=view&id=1HAYUcZNiWFTxN6mTbezFrh7um-shaWcj,https://drive.google.com/uc?export=view&id=14NCkj1kveQRIjGWO3UI_0Oww-SuRAoEz
South,Andhra Pradesh,Amravati,Amaravathi Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),4100,Sajja Roti,Veg,Millet Flatbread,Main Course,https://drive.google.com/uc?export=view&id=1hqbexv_au72gtiJIMY00z3_WQQdcyNLL,https://drive.google.com/uc?export=view&id=1RetAtGWHwYIs2KbWUNAd5I8wN59u8y-5
South,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,1.0,3.8,20.0,Recreational,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),3000,Naatu Kodi Pulusu,Non Veg,Country Chicken Curry,Main Course,https://drive.google.com/uc?export=view&id=1UXGem_4w_46QPJKuSD81IRoL_Lv2v6a7,https://drive.google.com/uc?export=view&id=1H0dWyCeMBqaj72Qw2WrmdAEV5TJFL2Kk
South,Andhra Pradesh,Visakhapatnam,Visakha Museum,1.0,4.3,10.0,Cultural,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),6500,Pootharekulu,Veg,Paper Sweet,Dessert,https://drive.google.com/uc?export=view&id=18bwi04CNClo6VRBv8O9VI_1GyxuVfXnQ,https://drive.google.com/uc?export=view&id=1TycH9j_Y5CrFGu6dpVAioAb2fLs3p7H6
South,Andhra Pradesh,Visakhapatnam,War Memorial,1.0,4.6,0.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),5900,Royyala Iguru,Non Veg,Prawn Masala,Main Course,https://drive.google.com/uc?export=view&id=1iuHB1PX71f2jGfY-8Qgb1_1cYKskzTAb,https://drive.google.com/uc?export=view&id=1nD4PYCoWCLB2jxEeV5J1YexxMffi7z0s
South,Andhra Pradesh,Visakhapatnam,Borra Caves,2.0,4.5,60.0,Natural Wonder,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),31000,Rasam (Andhra Charu),Veg,Soup,Starter,https://drive.google.com/uc?export=view&id=1ggLcaA2fhiiR0LlLKm4E6tfzdAS5crbo,https://drive.google.com/uc?export=view&id=1t0U_nxkFJrS4chMe3xlAGE0V8TOeuqpQ
South,Andhra Pradesh,Visakhapatnam,Submarine Museum,1.0,4.6,40.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),49000,Gongura Pachadi,Veg,Pickle/Chutney,Side,https://drive.google.com/uc?export=view&id=15qDley327jid24XDLhDtXUSzWrtE1Vo0,https://drive.google.com/uc?export=view&id=1EGPj5_b4fvqp2Fiw32k-m3zJxOYm4gak
South,Andhra Pradesh,Visakhapatnam,Kailasagiri,2.0,4.5,0.0,Recreational,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),1900,Pesarattu Upma,Veg,Dosa + Upma Combo,Breakfast,https://drive.google.com/uc?export=view&id=1Jqw0gramKwI9FUxb-jzK_hSopPWS7E3T,https://drive.google.com/uc?export=view&id=1jva-IZZEhas9Jhues_L9RZc0lseNM-AB
South,Andhra Pradesh,Vizianagaram,Simhachalam Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),59000,Bongu Chicken (Bamboo Chicken),Non Veg,Roast,Main Course,https://drive.google.com/uc?export=view&id=1PdSDMRkFsS4hgC3Q1GKdDWjGZ8q1ISnn,https://drive.google.com/uc?export=view&id=1ATSTRZ5AtMOew7qMYWxC6w7ics2csLbe
South,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,1.0,4.7,0.0,Religious,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),12000,Ariselu,Veg,Rice Sweet,Dessert,https://drive.google.com/uc?export=view&id=1cnaiLTkHbcWFotRf_Px_nFLFOfleNmYg,https://drive.google.com/uc?export=view&id=1i7qfNBA7k1Q9jEyCKyBm5yN56L9U61yi
South,Andhra Pradesh,Anantapur,Lepakshi,1.5,4.6,0.0,Historical,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),7500,Gongura Mutton,Non Veg,Mutton Curry,Main Course,https://drive.google.com/uc?export=view&id=1gOG1Ayd7VNAwiEt51SCH2wD3R-S0r0f7,https://drive.google.com/uc?export=view&id=1a2a_B7eyTUdHgTkCEN8rFtE-jfpuAF91
South,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,2.0,4.1,20.0,Wildlife,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),25000,Chepala Pulusu,Non Veg,Fish Curry,Main Course,https://drive.google.com/uc?export=view&id=1u7BnyHsTisI35JiUTq9rM5wB1THrdkEt,
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,2.0,4.7,0.0,Religious,No,Morning,"Mar–Jun, Oct–Dec",Donyi Polo Airport (HGI),3200,Thenthuk,Veg/Non Veg,Pulled Noodles,Main Course,https://drive.google.com/uc?export=view&id=15mRvUuY9GN4q-DrAcARAuHpGccWT8AfL,https://drive.google.com/uc?export=view&id=1IWsybQ-Ss1ehYYtMBtD0nog1agfuIU9o
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,2.0,4.4,500.0,Wildlife,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),3700,Duck with Kumura,Non Veg,Duck Curry,Main Course,https://drive.google.com/uc?export=view&id=1zsMlL2BYHFrrf3WuIv3qrs5oCWKAvZvc,https://drive.google.com/uc?export=view&id=1EyNlG7EAjQ_eEOU-_nvUqd-KOwe7GGBD
North Eastern,Assam,Majuli,Majuli Island,2.0,4.7,0.0,Cultural,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),1000,Ou Tenga Dal,Veg,Sour Lentil,Main Course,https://drive.google.com/uc?export=view&id=1TmpGHiu_p7JKFQxntQbUGBovEyqvnrvt,https://drive.google.com/uc?export=view&id=1dYufs0wNN1vyHDIscH3Rd_ccB0GoZUaT
North Eastern,Assam,Guwahati,Umananda Island,1.0,4.1,0.0,Nature,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),1000,Khar,Veg,Alkaline Veg Curry,Main Course,https://drive.google.com/uc?export=view&id=1XRMh4myV6TgAYMMUWVmgxRm8TfCiMdxH,https://drive.google.com/uc?export=view&id=1LiKud5pX_5xc0ybvC_3lVRnnWG_U-a5x
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,1.0,4.7,0.0,Historical,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),6500,Pitha (Til Pitha),Veg,Rice Cake Sweet,Dessert,https://drive.google.com/uc?export=view&id=1K-0DBwHw4AfknjoRjiRsh2k58J3GireH,https://drive.google.com/uc?export=view&id=1lx3nCTvYVM6XRbLM5ERDdR5VbaGa3VEd
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,1.0,4.5,0.0,Religious,Yes,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),90000,Jolpan,Veg,Sweet,Breakfast/Refreshment,https://drive.google.com/uc?export=view&id=1v_mybvjEbiYeo-id40Q-aBGQOZVWdrC7,https://drive.google.com/uc?export=view&id=1g6rtmIV4snnS9nDYI5nmSSC4-o7de5IG
North Eastern,Assam,Kaziranga,Kaziranga National Park,3.0,4.5,650.0,Wildlife,No,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),6800,Aloo Pitika,Veg,Mashed Potato,Side,https://drive.google.com/uc?export=view&id=1TEMzacA_rj5a4pmsfOv_6Nr9AjqHGEcI,https://drive.google.com/uc?export=view&id=1EUK_iHq-72Rz--4SonZAc-tOLbL2_gcb
North Eastern,Assam,Guwahati,Kamakhya Temple,2.0,4.6,0.0,Religious,No,All,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),21000,Masor Tenga,Non Veg,Fish Curry (Sour),Main Course,https://drive.google.com/uc?export=view&id=1zhCVCwdQazeWiCkajfsKyht2d32WAaRy,https://drive.google.com/uc?export=view&id=1KAgJeUdyXLlmdkp0SVoRYKQB0HbGiGSr
North Eastern,Assam,Manas,Manas National Park,3.0,4.6,500.0,Wildlife,Yes,Morning,Nov–Apr,Lokpriya Gopinath Bordoloi International Airport (GAU),19000,Smoked Pork with Bamboo Shoot,Non Veg,Pork Curry,Main Course,https://drive.google.com/uc?export=view&id=1i7Y-S8XAO_Ftt86hpNg_adahNCstAuqG,https://drive.google.com/uc?export=view&id=1Qm8jkQSyIpyMHFKVvF02MqqhOHMDPeJz
East,Bihar,Bodh Gaya,Mahabodhi Temple,1.5,4.7,0.0,Religious,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),20000,Litti Chokha,Veg,Stuffed Wheat Ball + Mash,Main Course,https://drive.google.com/uc?export=view&id=1KTh-3Lg6tSUlJ1f-VytCYCU6FVIcOGry,https://drive.google.com/uc?export=view&id=1qbVTn-9dnt2M4cXV-s7eCjkNNzJhTEZV
East,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,1.0,4.7,0.0,Religious,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),25000,Sattu Paratha,Veg,Stuffed Paratha,Main Course,https://drive.google.com/uc?export=view&id=1E4CDAjj5K_ckYI2phd7xdPhXM-TRlqe6,https://drive.google.com/uc?export=view&id=1kbbVPTp65TsM0NqLfqAZgMWgZ-HBrPbP
East,Bihar,Patna,Budhha Smriti Park,1.0,4.4,10.0,Cultural,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),31000,Thekua,Veg,Fried Cookie,Dessert,https://drive.google.com/uc?export=view&id=1duvjXV_ox-Wcg2lP1_mJJG31HEWWlnBO,https://drive.google.com/uc?export=view&id=1qHV5RsSU6kTuVOpAMsozoMLi3NQOizEj
East,Bihar,Patna,Sanjay Gandhi Biological Park,2.5,4.3,30.0,Wildlife,Yes,All,Oct–Mar,Jay Prakash Narayan Airport (PAT),50000,Khaja,Veg,Layered Sweet,Dessert,https://drive.google.com/uc?export=view&id=10JQnjLtxC9vMNb7hepywUrwylnIt-jf8,https://drive.google.com/uc?export=view&id=1LaiWf0L6Hf7PzPjLZnPLLlVSyTjl9LlM
Central,Chhattisgarh,Bastar,Chitrakote Falls,1.5,4.6,0.0,Nature,Yes,Morning,Oct–Mar,Swami Vivekananda Airport (RPR),19000,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main,https://drive.google.com/uc?export=view&id=1mLmypIzRNQPLWt_lyYQSyR0oIpiV7syJ,https://drive.google.com/uc?export=view&id=1cBDpy-u46T_VW54v9ImFXXYkofZOy1n1
West,Daman and Diu,Diu,Diu Fort,1.5,4.6,0.0,Historical,Yes,Afternoon,Oct–Mar,Diu Airport (DIU),120000,Ubadiyu,Veg,"Smoky, Spicy",Main Course,https://drive.google.com/uc?export=view&id=1W4tBIkSyFpGXDLXAFXvZw-AZetnBAsty,https://drive.google.com/uc?export=view&id=1L95SdzYTHo-wxr8KOXqCKNTfi19fakj_
West,Daman and Diu,Diu,Naida Caves,1.0,4.5,0.0,Nature,Yes,Afternoon,Oct–Mar,Diu Airport (DIU),60000,Patra Ni Macchi,Non Veg,Mild Spicy,Main Course,https://drive.google.com/uc?export=view&id=1MgF5q_aE5CjC9N_PZFH9SuKofbjO778m,https://drive.google.com/uc?export=view&id=17cgdy1eA-YWyZ2l4EwTyPbnjzmRI5-kt
North,Delhi,Delhi,India Gate,0.5,4.6,0.0,Historical,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),260000,Chole Bhature,Veg,Spicy Chickpeas + Fried Bread,Main Course,https://drive.google.com/uc?export=view&id=1wUkjLFe5Vueo34NLP11TI7AsMrI9Mu7O,https://drive.google.com/uc?export=view&id=1ZbdRI1n6Wxog5VenBg-gUHDuQW0b0LlD
North,Delhi,New Delhi,Gurudwara Bangla Sahib,1.0,4.8,0.0,Religious,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),105000,Aloo Tikki Chaat,Veg,Street Snack,Snack,https://drive.google.com/uc?export=view&id=1Q2J3LuM4VUH0gPo1FjF140SLNDtHMqAz,https://drive.google.com/uc?export=view&id=1llUhWryPZefuUJoZoKrv7LuXQ5cELrWU
North,Delhi,Delhi,Humayun's Tomb,2.0,4.5,30.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),40000,Butter Chicken,Non Veg,Creamy Curry,Main Course,https://drive.google.com/uc?export=view&id=18jlh8hK_wdn33z8unu1CEuci2smgsdJ8,https://drive.google.com/uc?export=view&id=1rbMxoxs_dplT42JrkmalydYnXEXVT_yE
North,Delhi,Delhi,Akshardham Temple,5.0,4.6,60.0,Religious,No,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),40000,Daulat ki Chaat,Veg,Foamy Milk Dessert,Dessert,https://drive.google.com/uc?export=view&id=1hownEr4hmiaDgpqolmjZGPp_H7IhkveX,https://drive.google.com/uc?export=view&id=1r_7fQeMllVsipXewTj44PktbovXWxOW3
North,Delhi,Delhi,Waste to Wonder Park,2.0,4.1,50.0,Environmental,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),27000,Nihari,Non Veg,Slow-cooked Meat Stew,Main Course,https://drive.google.com/uc?export=view&id=11xPy6HFpyXykq0DWl88uUSNQTt7jZKIE,https://drive.google.com/uc?export=view&id=18_BnmICgp9qnND6XHotk9ioBxW4LzmQq
North,Delhi,Delhi,Jantar Mantar,2.0,4.2,15.0,Scientific,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),31000,Kulfi Falooda,Veg,Frozen Dessert + Vermicelli,Dessert,https://drive.google.com/uc?export=view&id=1bxIWyphV-GubJgivN8RQhENeGRwqsWbH,https://drive.google.com/uc?export=view&id=1XC11IhrFjnOo8GUgtb8XA58n6cwaoLPj
North,Delhi,Delhi,Chandni Chowk,3.0,4.2,0.0,Market,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),25000,Parathe (Paranthe Wali Gali),Veg,Stuffed Flatbread,Breakfast,https://drive.google.com/uc?export=view&id=1FCA-svUPySolzHdZnPCxgi2aUz3XZqv-,https://drive.google.com/uc?export=view&id=1Uyv23-sCPD4rC5dZWQFJpFhpHTAPGMfC
North,Delhi,Delhi,Lotus Temple,1.0,4.5,0.0,Religious,Yes,Evening,Oct–Mar,Indira Gandhi International Airport (DEL),59000,Kebabs (Seekh/Reshmi),Non Veg,Grilled Meat,Snack,https://drive.google.com/uc?export=view&id=1sg4WIP5l8JBOFMKXExdr8Q5mghpo5KGh,https://drive.google.com/uc?export=view&id=17QG3oLhpIldX-tjc5uR3RnKU26ogO5Ua
North,Delhi,Delhi,Red Fort,2.0,4.5,35.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),150000,Gol Gappe / Pani Puri,Veg,Street Snack,Snack,https://drive.google.com/uc?export=view&id=14zK1UM2pE4_GabqZfT-1QFeTpSaE8G7t,https://drive.google.com/uc?export=view&id=1gs5U8PaFTYP8IcclY7ZnrufNEmnvbkt1
North,Delhi,Delhi,Sunder Nursery,2.0,4.6,0.0,Botanical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),16000,Bedmi Puri with Aloo,Veg,Breakfast Combo,Breakfast,https://drive.google.com/uc?export=view&id=1z9jx2-jGs1BegQ0mDUV505_4rmIkx2aP,https://drive.google.com/uc?export=view&id=1Kos4Vuo_0zM4CcxmZcoJ6pSVB9MUBTcD
North,Delhi,Delhi,Agrasen ki Baoli,1.0,4.2,0.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),41000,Rabri Jalebi,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1PiLHoxkU47ys03Tl0lQ_ZOTYRWXStQvD,https://drive.google.com/uc?export=view&id=1C6E-WJ6CAIlXf7CRIsidSmSgbusJzG-Q
North,Delhi,Delhi,Lodhi Garden,1.0,4.5,0.0,Botanical,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),48000,Keema Mutter,Non Veg,Minced Meat Curry,Main Course,https://drive.google.com/uc?export=view&id=15LJEJ8wrVo-isUByTfZjUJdXte5mM-Lq,https://drive.google.com/uc?export=view&id=1MMRgOv-Q6IbjhMRYoY4Lb2lB9wWnNxEZ
North,Delhi,Delhi,National Gallery of Modern Art,3.0,4.5,20.0,Artistic,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),8000,Karim's Mutton Korma,Non Veg,Mutton Curry,Main Course,https://drive.google.com/uc?export=view&id=1YxoVOXmSf_9ColJqkhK-OPtw0RwF3Jk9,https://drive.google.com/uc?export=view&id=1F9J4Cca6tNd2vxZqVTLLUzX7k1pWF1k9
North,Delhi,Delhi,National Zoological Park ,3.0,4.1,80.0,Environmental,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),41000,Chole Kulche,Veg,Bread + Chole,Main Course,https://drive.google.com/uc?export=view&id=14DkLWY2KKt1KOq-_qua8-5MTuL_wFPEb,https://drive.google.com/uc?export=view&id=1Rkl0uxi4czaDVCT3HqWAhgkaX9xrOVkn
North,Delhi,Delhi,Qutub Minar,1.0,4.5,35.0,Historical,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),137000,Kadai Paneer,Veg,Paneer Curry,Main Course,https://drive.google.com/uc?export=view&id=1ob2OeAbHHUjEIvK5Lj2VAB-EESoyl_tg,https://drive.google.com/uc?export=view&id=1a5z3rFKydMvOWJngHs9qpNa5K4N-aOOu
North,Delhi,Delhi,National Science Centre,5.0,4.4,70.0,Scientific,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),23000,Rajma Chawal,Veg,Beans + Rice,Main Course,https://drive.google.com/uc?export=view&id=1bNRC4buZR3dXrWTZ4RutoAr2psElqqz8,https://drive.google.com/uc?export=view&id=1VA6YPCgWTlIYodc2qeCR5F7i-nwHLvuJ
North,Delhi,New Delhi,Rail Museum,2.0,4.4,50.0,Cultural,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),24000,Kachori Sabzi,Veg,Snack + Curry,Breakfast,https://drive.google.com/uc?export=view&id=1ZMbnvoWuGDkznfCpVFRh382hb2d2d7TX,https://drive.google.com/uc?export=view&id=1W5pI33SChdVQdsmZnp7O4IkGi6asJk0h
North,Delhi,New Delhi,Jama Masjid,1.0,4.5,0.0,Historical,Yes,All,Oct–Mar,Indira Gandhi International Airport (DEL),49000,Samosa,Veg,Fried Snack,Snack,https://drive.google.com/uc?export=view&id=1N36JnYKLMxUSJeq0_GpL7EZbnvln0t45,https://drive.google.com/uc?export=view&id=1OCydvFozT1c40EICwdW58mN1kP4yTfgk
North,Delhi,Delhi,Garden of Five Senses,2.0,4.1,35.0,Botanical,Yes,Morning,Oct–Mar,Indira Gandhi International Airport (DEL),23000,Moth Kachori,Veg,Snack,Snack,https://drive.google.com/uc?export=view&id=1_u2lywJhfTxQDgJUDrAoAkxZL1vgFj35,https://drive.google.com/uc?export=view&id=1HtLVq-KnyyAuKukmvzYeaCnsk-zNCN2O
South,Goa,Goa,Miramar Beach,1.5,4.2,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),30000,Ambot Tik,Non Veg,Sour Spicy Curry,Main Course,https://drive.google.com/uc?export=view&id=10j-wmos7hn8CXNwCNs_FZfB9MaPLqsxa,https://drive.google.com/uc?export=view&id=1qz8yLI0HVeFBSvsEz_TCb1Og_MR6e54t
South,Goa,Goa,Dr. Salim Ali Bird Santuary,2.0,3.9,10.0,Wildlife,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),3000,Sannas,Veg,Steamed Rice Cake,Side,https://drive.google.com/uc?export=view&id=1eWfc-h1T4qbvNBdTvM7mpqyJOlVQ9rJ5,https://drive.google.com/uc?export=view&id=1CIr8LYs9lAFdvbbOWX6c7wgjpSOxSLvo
South,Goa,Goa,Aguada Beach,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),1000,Goan Red Rice,Veg,Staple,Side,https://drive.google.com/uc?export=view&id=1VETf3PVTh1Y9RZRqHt8hpbNMVvAFR30d,https://drive.google.com/uc?export=view&id=1VFBXq0FPnl_EGBlRrf0aI2WsvjjlNtu6
South,Goa,Goa,Colva Beach,2.0,4.3,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),10000,Caldeen,Non Veg,Mild Coconut Curry,Main Course,https://drive.google.com/uc?export=view&id=1BFwbF2Wbtu08nQr135zSyERkpS8_NpSy,https://drive.google.com/uc?export=view&id=1nc9y0mW4B-mb98kFWtjKPM4Gl17OeMeV
South,Goa,Goa,Calangute Beach,2.0,4.4,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),26000,Pork Vindaloo,Non Veg,Curry,Main Course,https://drive.google.com/uc?export=view&id=1Zstvn2wP8Lf9js8LZfV7PbfYLfeGlEzZ,https://drive.google.com/uc?export=view&id=1chBsRqHE-UHI4kpT7sV1rxz8JC8xqzmh
South,Goa,Goa,Arambol Beach,2.0,4.6,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),10000,Ros Omelette,Non Veg,Street Snack,Snack,https://drive.google.com/uc?export=view&id=1cvsldUyseC9jDu25gXn3tI5TwX4LHuYe,https://drive.google.com/uc?export=view&id=1_iEbMBHy57xoIV8GPu0ADPSju0poinVD
South,Goa,Goa,Baga Beach,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),35000,Bebinca,Veg,Dessert,Dessert,https://drive.google.com/uc?export=view&id=1Cv-MgtxMmqZY0cw9ExP7AsdyBcgWmJRo,https://drive.google.com/uc?export=view&id=17GH0DP9qw-CfKJ36D_lfkACtC4h6fR-P
South,Goa,Goa,Se Cathedral,1.0,4.5,0.0,Historical,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),5000,Sorpotel,Non Veg,Pork Curry,Main Course,https://drive.google.com/uc?export=view&id=1GZcqKn7SFM6uXZQXhqYADvTsc3CJA7AK,https://drive.google.com/uc?export=view&id=1f4rHh45-lcJaLfjxT2JJZXxNqxv5WFQA
South,Goa,Goa,Chapora Fort,1.0,4.2,0.0,Historical,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),19000,Samarachi Kodi,Non Veg,Dry Shrimp Curry,Main Course,https://drive.google.com/uc?export=view&id=1r9VBxyw5cEzrH-F_7e12fQqdl9GgvrLw,https://drive.google.com/uc?export=view&id=1tiTuy6NwSBXC5Etftz15yh5jDnz2-RFo
