Main Tourist Attraction,City,State,Dish Name,Veg or Non Veg,Type of Dish,Course
Basilica of Bom Jesus,Goa,Goa,Chicken Cafreal,Non Veg,Spicy Roast,Main Course
Fort Aguada,Goa,Goa,Prawn Balchao,Non Veg,Pickled Seafood Curry,Main Course
Dudhsagar Falls,Goa,Goa,Crab Xec Xec,Non Veg,Coconut Curry,Main Course
Anjuna Beach,Goa,Goa,Goan Fish Curry,Non Veg,Fish Curry,Main Course
Chapora Fort,Goa,Goa,Samarachi Kodi,Non Veg,Dry Shrimp Curry,Main Course
Se Cathedral,Goa,Goa,Sorpotel,Non Veg,Pork Curry,Main Course
Baga Beach,Goa,Goa,Bebinca,Veg,Dessert,Dessert
Arambol Beach,Goa,Goa,Ros Omelette,Non Veg,Street Snack,Snack
Palolem Beach,Goa,Goa,Poi Bread with Chorizo Pao,Non Veg,Bread + Sausage,Snack
Colva Beach,Goa,Goa,Caldeen,Non Veg,Mild Coconut Curry,Main Course
Miramar Beach,Goa,Goa,Ambot Tik,Non Veg,Sour Spicy Curry,Main Course
Aguada Beach,Goa,Goa,Goan Red Rice,Veg,Staple,Side
Dr. Salim Ali Bird Santuary,Goa,Goa,Sannas,Veg,Steamed Rice Cake,Side
Sabarmati Ashram,Ahmedabad,Gujarat,Undhiyu,Veg,Mixed Veg Curry,Main Course
Sabarmati Riverfront,Ahmedabad,Gujarat,Thepla,Veg,Spiced Flatbread,Snack
Manek Chowk,Ahmedabad,Gujarat,Khandvi,Veg,Gram Flour Rolls,Snack
Kankaria Lake,Ahmedabad,Gujarat,Fafda Jalebi,Veg,Snack + Sweet,Snack
Science City,Ahmedabad,Gujarat,Handvo,Veg,Savoury Cake,Main Course
Dwarkadhish Temple,Dwarka,Gujarat,Lilva Kachori,Veg,Stuffed Snack,Snack
Gir National Park,Junagadh,Gujarat,Sev Tameta nu Shaak,Veg,Tomato Curry,Main Course
White Desert,Bhuj,Gujarat,Gujarati Kadhi,Veg,Yoghurt Curry,Side
Laxmi Vilas Palace,Vadodara,Gujarat,Khichdi with Ghee,Veg,Rice + Lentils,Main Course
Somnath Temple,Somnath,Gujarat,Dabeli,Veg,Street Burger,Snack
Rann Utsav,Rann of Kutch,Gujarat,Patra (Alu Vadi),Veg,Colocasia Roll,Snack
Statue of Unity,Kevadia,Gujarat,Mohanthal,Veg,Sweet,Dessert
Dandi Kutir,Gandhinagar,Gujarat,Basundi,Veg,Milk Dessert,Dessert
Akshardham,Gandhinagar,Gujarat,Surti Locho,Veg,Steamed Snack,Snack
Kingdom of Dreams,Gurugram,Haryana,Chicken Tikka,Non Veg,"Tandoor, Spicy",Snack/Main
Ambience Mall,Gurugram,Haryana,Dahi Kebabs,Veg,"Creamy, Fried",Snack
DLF CyberHub,Gurugram,Haryana,Chole Kulche,Veg,Spicy,Snack/Main
The Ridge,Shimla,Himachal Pradesh,Dham (Festival Thali),Veg,Traditional Thali,Main Course
Solang Valley,Manali,Himachal Pradesh,Siddu,Veg,Steamed Wheat Bun,Snack
Dalai Lama Temple,dalhousie,Himachal Pradesh,Chha Gosht,Non Veg,Mutton in Yoghurt Gravy,Main Course
Khajjiar Lake,Dalhousie,Himachal Pradesh,Madra,Veg,Chickpea Curry,Main Course
Key Monastery,Spiti Valley,Himachal Pradesh,Babru,Veg,Stuffed Flatbread,Snack
Great Himalayan National Park,Kullu,Himachal Pradesh,Auriya Kaddu,Veg,Pumpkin Curry,Main Course
Chamera Lake,Chamba,Himachal Pradesh,Aktori,Veg,Buckwheat Pancake,Breakfast
Sangla Valley,Kinnaur,Himachal Pradesh,Bhey (Lotus Stem Curry),Veg,Curry,Main Course
Kangra Fort,Kangra,Himachal Pradesh,Mittha,Veg,Sweet Rice,Dessert
Tea Gardens,Palampur,Himachal Pradesh,Sepu Vadi,Veg,Lentil Dumplings Curry,Main Course
Prashar Lake,Mandi,Himachal Pradesh,Kullu Trout,Non Veg,Fish,Main Course
Paragliding Site,Bir Billing,Himachal Pradesh,Chana Madra,Veg,Chickpea Curry,Main Course
Triund Trek,McLeod Ganj,Himachal Pradesh,Anardana Chutney,Veg,Chutney,Side
Manikaran Sahib,Manikaran,Himachal Pradesh,Chamba Style Rajma,Veg,Rajma Curry,Main Course
Hatu Peak,Narkanda,Himachal Pradesh,Tudkiya Bhath,Veg,Spiced Rice,Main Course
Barot Valley,Barot,Himachal Pradesh,Gahat (Kulath) Soup,Veg,Soup,Starter
Serolsar Lake,Shoja,Himachal Pradesh,Patande,Veg,Crepe,Breakfast
Kufri Fun World,Kufri,Himachal Pradesh,Luchi with Chana,Veg,Bread + Curry,Breakfast
Mall Road,Shimla,Himachal Pradesh,Chha Meat,Non Veg,Yoghurt Mutton,Main Course
Dal Lake,Srinagar,Jammu and Kashmir,Rogan Josh (Wazwan),Non Veg,Kashmiri Specialty,Main Course
Betaab Valley,Pahalgam,Jammu and Kashmir,Rogan Josh,Non Veg,Kashmiri Specialty,Main Course
Vaishno Devi,Jammu,Jammu and Kashmir,Kaladi Kulcha,Veg,Local Cheese,Snack
Patnitop Height,Udhampur,Jammu and Kashmir,Kashmiri_Kahwa,Veg,Kashmiri Specialty,Drink
Amarnath Cave,Anantnag,Jammu and Kashmir,Kashmiri Dum Aloo,Veg,Kashmiri Specialty,Main Course
Kishtwar National Park,Kishtwar,Jammu and Kashmir,Rogan Josh — Special #3,Non Veg,Kashmiri Specialty,Main Course
Baba Baidyanath Temple,Deoghar,Jharkhand,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main
Pahari Mandir,Ranchi,Jharkhand,Masala Dosa — Special #1,Veg,"Crispy, Savory",Breakfast/Main
Bangalore Palace,Bangalore,Karnataka,Bisi Bele Bath,Veg,Rice + Lentils,Main Course
Lalbagh Botanical Garden,Bangalore,Karnataka,Mysore Masala Dosa,Veg,Dosa,Breakfast
Cubbon Park,Bangalore,Karnataka,Ragi Mudde with Sambar,Veg,Millet Ball + Sambar,Main Course
Vidhana Soudha,Bangalore,Karnataka,Udupi Sambar with Rice,Veg,Curry,Main Course
ISKCON Temple Bangalore,Bangalore,Karnataka,Mangalorean Fish Curry,Non Veg,Fish Curry,Main Course
Wonderla Amusement Park,Bengaluru,Karnataka,Korri Rotti,Non Veg,Chicken + Crisp Rotti,Main Course
Orion Mall,Bengaluru,Karnataka,Neer Dosa,Veg,Rice Crepe,Breakfast
Mysore Palace,Mysore,Karnataka,Mangalore Buns,Veg,Fried Banana Puri,Snack
Hampi Archaeological Ruins,Hampi,Karnataka,Holige/Obbattu,Veg,Sweet Flatbread,Dessert
Abbey Falls,Coorg,Karnataka,Mysore Pak,Veg,Sweet,Dessert
Om Beach,Gokarna,Karnataka,Chicken Ghee Roast,Non Veg,Roast,Main Course
Mullayanagiri,Chikmagalur,Karnataka,Saaru (Rasam),Veg,Soup,Starter
Badami Cave Temples,Badami,Karnataka,Kesari Bath,Veg,Sweet Semolina,Dessert
Jog Falls,Shivamogga,Karnataka,Puliyogare,Veg,Tamarind Rice,Main Course
Panambur Beach,Mangalore,Karnataka,Thatte Idli,Veg,Steamed Cake,Breakfast
Murudeshwar Temple,Murudeshwar,Karnataka,Kane Rava Fry,Non Veg,Fish Fry,Snack
Gol Gumbaz,Bijapur,Karnataka,Chitranna (Lemon Rice),Veg,Rice,Main Course
Bandipur National Park,Bandipur,Karnataka,Kotambari Vade,Veg,Fritter,Snack
Halebidu Hoysaleswara Temple,Halebidu,Karnataka,Uppittu (Upma),Veg,Breakfast,Breakfast
Alappuzha Beach,Alappuzha,Kerala,Appam with Stew,Veg,Rice Pancake + Veg Stew,Breakfast
Munnar Tea Gardens,Munnar,Kerala,Kerala Fish Curry,Non Veg,Fish Curry,Main Course
Fort Kochi,Kochi,Kerala,Puttu and Kadala Curry,Veg,Steamed Rice Cake + Chickpeas,Breakfast
Kerala Folklore Museum,Kochi,Kerala,Avial,Veg,Mixed Veg Curry,Main Course
Wonderla Amusement Park,Kochi,Kerala,Thalassery Biryani,Non Veg,Biryani,Main Course
LuLu International Shopping Mall,Kochi,Kerala,Karimeen Pollichathu,Non Veg,Pearl Spot in Banana Leaf,Main Course
Padmanabhaswamy Temple,Thiruvananthapuram,Kerala,Idiyappam,Veg,String Hoppers,Breakfast
Kozhikode Beach,Kozhikode,Kerala,Parippu Curry,Veg,Dal,Main Course
Wayanad Wildlife Sanctuary,Wayanad,Kerala,Erissery,Veg,Pumpkin & Lentil,Main Course
Periyar National Park,Thekkady,Kerala,Kappa and Meen Curry,Non Veg,Tapioca + Fish,Main Course
Kumarakom Bird Sanctuary,Kumarakom,Kerala,Nadan Beef Fry,Non Veg,Beef Fry,Main Course
Varkala Beach,Varkala,Kerala,Pazham Pori,Veg,Banana Fritter,Snack
Bekal Fort,Bekal,Kerala,Ada Pradhaman,Veg,Payasam,Dessert
Kovalam Beach,Kovalam,Kerala,Unniyappam,Veg,Sweet Snack,Dessert
St. Angelo Fort,Kannur,Kerala,Malabar Parotta with Beef/Chicken Curry,Non Veg,Bread + Curry,Main Course
Seethargundu Viewpoint,Nelliyampathy,Kerala,Vegetable Stew,Veg,Coconut Milk Stew,Main Course
Pangong Tso,Leh,Ladakh,Thukpa,Veg/Non Veg,Noodle Soup,Main Course
Thiksey Monastery,Leh,Ladakh,Momos,Veg/Non Veg,Steamed Dumplings,Snack
Magnetic Hill,Leh,Ladakh,Jalebi,Veg,Sweet,Dessert
Khardung La Pass,Leh,Ladakh,Mutton Curry,Non Veg,Spicy,Main Course
Nubra Valley,Nubra Valley,Ladakh,Skyu,Veg/Non Veg,Pasta-like Stew,Main Course
Kargil War Memorial,Kargil,Ladakh,Skyu — Special #1,Veg/Non Veg,Pasta-like Stew,Main Course
Diskit Monastery,Diskit,Ladakh,Skyu — Special #2,Veg/Non Veg,Pasta-like Stew,Main Course
Hemis National Park,Hemis,Ladakh,Skyu — Special #3,Veg/Non Veg,Pasta-like Stew,Main Course
Dras War Memorial,Dras,Ladakh,Skyu — Special #4,Veg/Non Veg,Pasta-like Stew,Main Course
Khajuraho Group of Monuments,Khajuraho,Madhya Pradesh,Poha-Jalebi,Veg,Breakfast Combo,Breakfast
Sanchi Stupa,Bhopal,Madhya Pradesh,Dal Bafla,Veg,Wheat Dumplings + Dal,Main Course
Madhya Pradesh Tribal Museum,Bhopal,Madhya Pradesh,Bhutte Ka Kees,Veg,Grated Corn Snack,Snack
Rajwada Palace,Indore,Madhya Pradesh,Bhopali Gosht Korma,Non Veg,Mutton Curry,Main Course
Gwalior Fort,Gwalior,Madhya Pradesh,Seekh Kebabs (Bhopal),Non Veg,Grilled Meat,Snack
Mahakaleshwar Jyotirlinga,Ujjain,Madhya Pradesh,Sabudana Khichdi,Veg,Sago Khichdi,Main Course
Dhuandhar Falls,Jabalpur,Madhya Pradesh,Rogan Josh (Indore style),Non Veg,Mutton Curry,Main Course
Bee Falls,Pachmarhi,Madhya Pradesh,Shikanji (Indore sweet drink),Veg,Drink/Dessert,Dessert
Kanha National Park,Kanha,Madhya Pradesh,Mawa Bati,Veg,Sweet,Dessert
Bandhavgarh National Park,Bandhavgarh,Madhya Pradesh,Jalebi (Hot),Veg,Sweet,Dessert
Orchha Fort,Orchha,Madhya Pradesh,Indori Namkeen Mix,Veg,Snack,Snack
Jahaz Mahal,Mandu,Madhya Pradesh,Bafla with Ghee,Veg,Bread Dish,Main Course
Bhimbetka Rock Shelters,Bhimbetka,Madhya Pradesh,Chicken Rezala (Bhopal),Non Veg,Chicken Curry,Main Course
Narmada Udgam Temple,Amarkantak,Madhya Pradesh,Gajak,Veg,Sweet,Dessert
Chitrakoot Falls,Chitrakoot,Madhya Pradesh,Khopra Patties,Veg,Coconut Cutlets,Snack
Tarkarli Beach,Tarkarli,Maharashtra,Misal Pav,Veg,Spicy Sprouts Curry + Bread,Breakfast
Kaas Plateau,Satara,Maharashtra,Vada Pav,Veg,Potato Fritter Bun,Snack
Echo Point,Matheran,Maharashtra,Puran Poli,Veg,Sweet Flatbread,Dessert
Ellora Caves,Ajanta,Maharashtra,Pav Bhaji,Veg,Mashed Veg Curry + Bread,Main Course
Marine Drive,Mumbai,Maharastra,Misal Pav,Veg,Spicy Sprouts Curry + Bread,Breakfast
Gateway of India,Mumbai,Maharastra,Vada Pav,Veg,Potato Fritter Bun,Snack
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharastra,Pandra Rassa (Kolhapuri),Non Veg,White Curry,Main Course
Sanjay Gandhi National Park,Mumbai,Maharastra,Tambda Rassa (Kolhapuri),Non Veg,Red Curry,Main Course
Siddhivinayak Temple,Mumbai,Maharastra,Puran Poli,Veg,Sweet Flatbread,Dessert
Mahalaxmi Temple,Mumbai,Maharastra,Bharli Vangi,Veg,Stuffed Brinjal,Main Course
Haji Ali Dargah,Mumbai,Maharastra,Sabudana Khichdi,Veg,Fasting Dish,Main Course
Chowpatty Beach,Mumbai,Maharastra,Bombay Duck Fry (Bombil),Non Veg,Fish Fry,Snack
Essel World,Mumbai,Maharastra,Pav Bhaji,Veg,Mashed Veg Curry + Bread,Main Course
Elephanta Caves,Mumbai,Maharastra,Solkadhi,Veg,Coconut Kokum Drink,Drink
Imagicaa,Lonavala,Maharastra,Modak,Veg,Sweet Dumpling,Dessert
Karla Caves,Lonavala,Maharastra,Ragda Pattice,Veg,Street Snack,Snack
Shaniwar Wada,Pune,Maharastra,Thalipeeth,Veg,Multigrain Flatbread,Main Course
Ajanta Caves,Aurangabad,Maharastra,Poha,Veg,Flattened Rice,Breakfast
Sula Vineyards,Nashik,Maharastra,Chicken/Mutton Sukka,Non Veg,Dry Curry,Main Course
Sai Baba Temple,Shirdi,Maharastra,Kombdi Vade,Non Veg,Chicken + Fried Bread,Main Course
Alibaug Beach,Alibaug,Maharastra,Kanda Bhaji,Veg,Onion Fritters,Snack
Ganapatipule Temple,Ratnagiri,Maharastra,Mutton Ukkad,Non Veg,Stew,Main Course
Deekshabhoomi,Nagpur,Maharastra,Koliwada Prawns,Non Veg,Fried Prawns,Snack
Mahalakshmi Temple,Kolhapur,Maharastra,Shrikhand,Veg,Sweet,Dessert
Living Root Bridge,Cherrapunji,Meghalaya,Jadoh,Non Veg,Pork & Rice,Main Course
Nohkalikai Falls,Cherrapunji (Sohra),Meghalaya,Jadoh — Special #1,Non Veg,Pork & Rice,Main Course
Dzükou Valley,Dzükou Valley,Nagaland,Smoked Pork with Bamboo Shoot,Non Veg,Smoky,Main Course
Jagannath Temple,Puri,Odisha,Pakhala Bhata,Veg,Fermented Rice,Main Course
Sun Temple,Konark,Odisha,Dalma,Veg,Lentil + Veg,Main Course
Lingaraj Temple,Bhubaneswar,Odisha,Chhena Poda,Veg,Baked Cottage Cheese Sweet,Dessert
Nandankanan Zoological Park,Bhubaneswar,Odisha,Dahi Baingan,Veg,Curd Eggplant,Main Course
Khandadhar Waterfall,Rourkela,Odisha,Machha Besara,Non Veg,Fish Curry (Mustard),Main Course
Barabati Fort,Cuttack,Odisha,Chingudi Jhola,Non Veg,Prawn Curry,Main Course
Hirakud Dam,Sambalpur,Odisha,Santula,Veg,Mixed Veg Curry,Main Course
Chilika Lake,Chilika,Odisha,Rasagola (Odisha),Veg,Sweet,Dessert
Tara Tarini Temple,Berhampur,Odisha,Manda Pitha,Veg,Steamed Dumpling,Dessert
Badaghagara Waterfall,Keonjhar,Odisha,Arisa Pitha,Veg,Rice Cake,Dessert
Chandipur Beach,Balasore,Odisha,Ghuguni,Veg,Pea Curry,Snack
Sanaghagara Waterfall,Kendujhar,Odisha,Chhena Jhili,Veg,Sweet,Dessert
Promenade Beach,Puducherry,Puducherry,Baguette Sandwiches (Franco-Tamil),Veg/Non Veg,Fusion,Snack
Paradise Beach,Puducherry,Puducherry,Samosa,Veg,"Crispy, Savory",Snack
Auroville,Auroville,Puducherry,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main
Golden Temple (Harmandir Sahib),Amritsar,Punjab,Sarson da Saag & Makki di Roti,Veg,Leafy Curry + Corn Bread,Main Course
Jallianwala Bagh,Amritsar,Punjab,Chole Bhature (Punjabi style),Veg,Chickpeas + Bread,Main Course
Wagah Border,Amritsar,Punjab,Amritsari Kulcha,Veg,Stuffed Bread,Main Course
Rock Garden,Chandigarh,Punjab,Butter Chicken (Punjabi),Non Veg,Chicken Curry,Main Course
Hawa Mahal,Jaipur,Rajasthan,Dal Baati Churma,Veg,Bread + Lentil + Sweet,Main Course
Amber Fort,Jaipur,Rajasthan,Gatte ki Sabzi,Veg,Gram Dumpling Curry,Main Course
Jaigarh Fort,Jaipur,Rajasthan,Laal Maas,Non Veg,Spicy Mutton Curry,Main Course
City Palace,Jaipur,Rajasthan,Ker Sangri,Veg,Desert Beans Stir-fry,Main Course
Albert Hall Museum,Jaipur,Rajasthan,Pyaaz Kachori,Veg,Stuffed Snack,Snack
City Palace,Udaipur,Rajasthan,Mirchi Bada,Veg,Chilli Fritter,Snack
Lake Pichola,Udaipur,Rajasthan,Mohan Maas,Non Veg,Rich Mutton Curry,Main Course
Jaisalmer Fort,Jaisalmer,Rajasthan,Bajre ki Roti & Lehsun Chutney,Veg,Bread + Chutney,Main Course
Ranthambore National Park,Sawai Madhopur,Rajasthan,Rabri (Dessert),Veg,Sweet,Dessert
Pushkar Lake,Pushkar,Rajasthan,Kalmi Vada,Veg,Fritter,Snack
Ajmer Sharif Dargah,Ajmer,Rajasthan,Ghewar,Veg,Sweet,Dessert
Mehrangarh Fort,Jodhpur,Rajasthan,Jungli Maas,Non Veg,Game Curry,Main Course
Chittorgarh Fort,Chittorgarh,Rajasthan,Moong Dal Halwa,Veg,Sweet,Dessert
Dilwara Temples,Mount Abu,Rajasthan,Bikaneri Bhujia,Veg,Snack,Snack
Junagarh Fort,Bikaner,Rajasthan,Kadhi (Rajasthani),Veg,Yogurt Curry,Main Course
Nathula Pass,Gangtok,Sikkim,Sel Roti & Aloo Dum,Veg,Nepali Snack,Snack/Breakfast
Rumtek Monastery,Gangtok,Sikkim,Momos,Veg/Non Veg,Dumplings,Snack
Baba Harbhajan Singh Temple,Gangtok,Sikkim,Samosa,Veg,"Crispy, Savory",Snack
Tsomgo Lake,Gangtok,Sikkim,Veg Thali,Veg,Varied,Main Course
Pemayangtse Monastery,Pelling,Sikkim,Momos — Special #1,Veg/Non Veg,Dumplings,Snack
Char Dham,Namchi,Sikkim,Momos — Special #2,Veg/Non Veg,Dumplings,Snack
Buddha Park,Ravangla,Sikkim,Momos — Special #3,Veg/Non Veg,Dumplings,Snack
Marina Beach,Chennai,Tamil Nadu,Kanchipuram Idli,Veg,Steamed Rice Cake,Breakfast
Meenakshi Amman Temple,Madurai,Tamil Nadu,Chettinad Chicken,Non Veg,Spicy Chicken Curry,Main Course
Ramanathaswamy Temple,Rameswaram,Tamil Nadu,Pongal (Ven Pongal),Veg,Rice-Lentil Mash,Breakfast
Vivekananda Rock Memorial,Kanyakumari,Tamil Nadu,Kothu Parotta,Non Veg,Shredded Parotta + Meat,Main Course
Ooty Lake,Ooty,Tamil Nadu,Madurai Jigarthanda,Veg,Cold Dessert Drink,Dessert
Marudamalai Temple,Coimbatore,Tamil Nadu,Filter Coffee,Veg,Beverage,Drink
Kodaikanal Lake,Kodaikanal,Tamil Nadu,Paruppu Urundai Kuzhambu,Veg,Lentil Dumpling Curry,Main Course
Brihadeeswarar Temple,Thanjavur,Tamil Nadu,Elai Sappadu,Veg,Banana Leaf Meal,Main Course
Shore Temple,Mahabalipuram,Tamil Nadu,Mushroom Pepper Fry,Veg,Dry Fry,Snack
Yercaud Lake,Yercaud,Tamil Nadu,Chilli Parotta,Veg,Street Food,Main Course
Nellaiappar Temple,Tirunelveli,Tamil Nadu,Rasam (Tomato),Veg,Soup,Starter
Nataraja Temple,Chidambaram,Tamil Nadu,Adhirasam,Veg,Sweet,Dessert
Charminar,Hyderabad,Telangana,Hyderabadi Biryani,Non Veg,Rice & Meat,Main Course
Golconda Fort,Hyderabad,Telangana,Haleem,Non Veg,Meat Porridge,Main Course
Hussain Sagar Lake,Hyderabad,Telangana,Sakinalu,Veg,Crisp Snack,Snack
Ramoji Film City,Hyderabad,Telangana,Sarva Pindi,Veg,Rice Flour Pancake,Snack
Salar Jung Museum,Hyderabad,Telangana,Kodi Kura,Non Veg,Chicken Curry,Main Course
Qutb Shahi Tombs,Hyderabad,Telangana,Lukhmi,Non Veg,Minced Meat Pastry,Snack
Birla Mandir,Hyderabad,Telangana,Bagara Baingan,Veg,Eggplant Curry,Main Course
Chowmahalla Palace,Hyderabad,Telangana,Mirchi ka Salan,Veg,Chilli Curry,Side
Nehru Zoological Park,Hyderabad,Telangana,Double ka Meetha,Veg,Bread Pudding,Dessert
Lumbini Park,Hyderabad,Telangana,Qubani ka Meetha,Veg,Apricot Dessert,Dessert
Inorbit Mall Cyberabad,Hyderabad,Telangana,Boti Kebab,Non Veg,Grilled Meat,Snack
Ujjayanta Palace,Agartala,Tripura,Mui Borok (Fermented Fish),Non Veg,Traditional,Main Course
Dumboor Lake,Dumboor,Tripura,Mui Borok (Fermented Fish) — Special #1,Non Veg,Traditional,Main Course
Unakoti Rock Carvings,Unakoti,Tripura,Mui Borok (Fermented Fish) — Special #2,Non Veg,Traditional,Main Course
Taj Mahal,Agra,Uttar Pradesh,Awadhi Biryani,Non Veg,Rice & Meat,Main Course
Agra Fort,Agra,Uttar Pradesh,Tunday Kababi Galouti,Non Veg,Minced Kebab,Snack
Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,Bedhai (Bedmi) with Aloo,Veg,Breakfast Combo,Breakfast
Bara Imambara,Lucknow,Uttar Pradesh,Galouti Kebab,Non Veg,Meat Stew,Main Course
